nome,email,telefono,indirizzo,cap,comune,provincia,lat,lng,maps_url
3B Consulting di Briano Simone & C. SNC - Delegazione ACI Varazze,3b.varazze@gmail.com,+39 019 96708,"Via Montegrappa 41D, 17019 Varazze (SV)",17019,Varazze,SV,44.3650718,8.5710905,"https://www.google.com/maps/place/ACI+Delegazione+di+Varazze+-+Pratiche+Auto+e+Assicurazioni/@44.3650718,8.5710905,17z/data=!3m1!4b1!4m6!3m5!1s0x12d318b630d881fb:0xc8b79f8522d7b5ff!8m2!3d44.3650718!4d8.5736654!16s%2Fg%2F11f1d6w868"
A.P.A.A. di Birolini Michela,apaadibirolini@gmail.com,035 754188,"Via Giuseppe Mazzini 172, 24021 Albino (BG)",24021,Albino,BG,,,https://www.google.com/maps/search/?api=1&query=A.P.A.A.%20di%20Birolini%20Michela%20Via%20Giuseppe%20Mazzini%20172%2C%2024021%20Albino%20%28BG%29
ACI Automobile Club d'Italia - Delegazione di Mede (Studio di Consulenza Automobilistica Cucchi Rag. Davide),acimede@libero.it,0384 820475,"Corso Italia 39, 27035 Mede (PV)",27035,Mede,PV,45.0963029,8.7373408,"https://www.google.com/maps/place/ACI+Automobile+Club+d'Italia+Delegazione+di+MEDE+di+Cucchi+rag.+Davide/@45.0963029,8.7373408,17z/data=!3m1!4b1!4m6!3m5!1s0x47870f0b52879ed7:0x778bfc36939e3836!8m2!3d45.0963029!4d8.7399157!16s%2Fg%2F1tfwj7jt"
ACI Delegazione di Binasco,mi116@delegazioni.aci.it,02 9055320,"Via Matteotti, 3 - 20082 Binasco (MI)",20082,Binasco,MI,,,https://www.google.com/maps/search/?api=1&query=ACI%20Delegazione%20di%20Binasco%20Via%20Matteotti%2C%203%20-%2020082%20Binasco%20%28MI%29
ACI Delegazione di Melegnano (Agenzia Giulio Conti),mi048@delegazioni.aci.it,02 9834526,"Viale Vittorio Veneto, 87 - 20077 Melegnano (MI)",20077,Melegnano,MI,,,https://www.google.com/maps/search/?api=1&query=ACI%20Delegazione%20di%20Melegnano%20%28Agenzia%20Giulio%20Conti%29%20Viale%20Vittorio%20Veneto%2C%2087%20-%2020077%20Melegnano%20%28MI%29
ACI Delegazione di Reggio Calabria - Ufficio Assistenza (Automobile Club Reggio Calabria),rc002@delegazioni.aci.it,0965 27832,"Via G. De Nava, 43 - 89122 Reggio Calabria (RC)",89122,Reggio Calabria,RC,,,https://www.google.com/maps/search/?api=1&query=ACI%20Delegazione%20di%20Reggio%20Calabria%20-%20Ufficio%20Assistenza%20%28Automobile%20Club%20Reggio%20Calabria%29%20Via%20G.%20De%20Nava%2C%2043%20-%2089122%20Reggio%20Calabria%20%28RC%29
ACI Delegazione di Sant'Angelo Lodigiano,mi054@delegazioni.aci.it,0371 90480,"Piazza Caduti, 17 - 20079 Sant'Angelo Lodigiano (LO)",20079,Sant'Angelo Lodigiano,LO,,,https://www.google.com/maps/search/?api=1&query=ACI%20Delegazione%20di%20Sant%27Angelo%20Lodigiano%20Piazza%20Caduti%2C%2017%20-%2020079%20Sant%27Angelo%20Lodigiano%20%28LO%29
ACI Genova - Delegazione di Quinto,aciquinto@gmail.com,010 2365652,"Corso Europa 1726/2, Genova",,,,44.3860768,9.0181373,"https://www.google.com/maps/place/ACI+Genova+Delegazione+di+Quinto/@44.3860768,9.0181373,17z/data=!3m1!4b1!4m6!3m5!1s0x12d35cd6d3a61e47:0xac59234b38affb60!8m2!3d44.3860768!4d9.0207122!16s%2Fg%2F12hqrypcp"
ACI Gravedona - A.C.I. Autoscuola Albini (sportello pratiche auto/delegazione ACI),acigravedona@libero.it,0344 89200,"Via Trento 5/6, 22015 Gravedona ed Uniti (CO)",22015,Gravedona ed Uniti,CO,46.143374,9.2969415,"https://www.google.com/maps/place/A.C.I.+AUTOSCUOLA+ALBINI/@46.143374,9.2969415,17z/data=!3m1!4b1!4m6!3m5!1s0x4784400591675a8b:0x9c31ad80f951d976!8m2!3d46.143374!4d9.2995164!16s%2Fg%2F11fcv7gj1w"
ACI Monza di Agenzia Cinqueruote International,acimonza@gmail.com,039 322388,"Via Arosio 1, 20900 Monza (MB)",20900,Monza,MB,45.5771788,9.2683877,"https://www.google.com/maps/place/ACI+Monza+di+Agenzia+Cinqueruote+International/@45.5771788,9.2683877,17z/data=!3m1!4b1!4m6!3m5!1s0x4786b9a667b8ca27:0x6377aa00acf5ebaf!8m2!3d45.5771788!4d9.2709626!16s%2Fg%2F1q5bm1cfq"
ACI Porto Mantovano 1986 SRL,aciportomn@gmail.com,+39 0376 390602,"Piazza Virgilio 13, Porto Mantovano (MN)",,,MN,45.190927,10.788193,"https://www.google.com/maps/place/Aci+Porto+Mantovano+1986/@45.190927,10.788193,17z/data=!4m6!3m5!1s0x4781d6ce6e2edb01:0x7ccb48d827c87d58!8m2!3d45.190927!4d10.7907679!16s%2Fg%2F1hc5dn8wd"
Agenzia 33 Snc di Bruscagin Ornella & C.,info@agenzia33snc.it,0331 420100,"Via Magenta 13/A, 20028 San Vittore Olona (MI)",20028,San Vittore Olona,MI,,,https://www.google.com/maps/search/?api=1&query=Agenzia%2033%20Snc%20di%20Bruscagin%20Ornella%20%26%20C.%20Via%20Magenta%2013%2FA%2C%2020028%20San%20Vittore%20Olona%20%28MI%29
Agenzia 3G Erre Società a Responsabilità Limitata Semplificata (Agenzia Rezzato),pratiche@agenziarezzato.it,030 2593225,"Via Giuseppe Mazzini 8, 25086 Rezzato (BS)",25086,Rezzato,BS,,,https://www.google.com/maps/search/?api=1&query=Agenzia%203G%20Erre%20Societ%C3%A0%20a%20Responsabilit%C3%A0%20Limitata%20Semplificata%20%28Agenzia%20Rezzato%29%20Via%20Giuseppe%20Mazzini%208%2C%2025086%20Rezzato%20%28BS%29
